foundatiom,foundation
foundie,foundation
fondi,foundation
fondie,foundation
fondinya,foundation
fondienya,foundation
foundienya,foundation
fondation,foundation
foundationnya,foundation
foundationny,foundation
foundinya,foundation
pondi,foundation
aplikasiin,aplikasikan
repurchase,beli lagi
foundi,foundation
tali,tapi
kaye,seperti
mantul,mantap
geda,besar
gede,besar
biasalach,biasalah
problemsih,masalah sih
problem,masalah
pame,pake
affordable,terjangkau
gumpl,gumpal
purchase,beli
not,tidak
alus,halus
under,dibawah
kayanya,kayaknya
pedahal,padahal
malahjadi,malah jadi
poripori,pori pori
kurleb,kurang lebih
bruntusan,beruntusan
sbnrnya,sebenarnya
dipakaiin,dipakaikan
ajasih,aja sih
jadj,jadi
haru,hari
buntusan,beruntusan
benerbener,bener bener
tibatiba,tiba tiba
mendem,terpendam
gakbisa,gak bisa
inj,ini
kecilnua,kecilnya
skrgg,skrg
segede,sebesar
ngeresepnya,meresapnya
makeupan,makeup an
permakeupan,per makeup an
tnyt,ternyata
tapisebenernya,tetapi sebenarnya
ngrasa,merasa
kicil,kecil
pakenya,pakainya
pakennya,pakainya
hrgnya,harganya
gasehat,tidak sehat
nyamarin,menyamarkan
gatahan,tidak tahan
buanya,banyak
diapplikasiinnya,di aplikasikan
doank,doang
khwatir,khawatir
bnerbner,benar benar
ngelembabin,melembapkan
melembabkan,melembapkan
lembab,lembap
komedoan,komedo an
anpe,sampai
ngatasi,mengatasi
dipakenya,dipakainya
makeupin,makeup
makeupnya,makeup
pascakhingnya,packaging
ngeluarinnya,mengeluarkan
nyelip,terselip
buanget,banget
gronjal,tidak rata
pkenya,pakainya
makeupku,makeup
ngantor,mengantor
kekcover,kayak cover
soalny,soalnya
ngaplikasiin,mengaplikasikan
ysng,yang
pricey,mahal
gaabis,engga habis
ngalusin,menghaluskan
diaplikasiin,diaplikasikan
pelembab,pelembap
ngegeser,menggeser
diidung,dihidung
jatuhny,jatuhnya
nutup,menutup
nutupi,menutupi
keidung,kehidung
buatbprimer,buat primer
ngaruh,berpengaruh
kentel,kental
gampang,mudah
ngontrol,mengontrol
nggeser,menggeser
itam,hitam
sebenenyaa,sebenarnya
seingetku,seingatku
pakein,pakaikan
gunain,gunakan
mencetnya,pencetnya
kali,barangkali
bayarin,membayari
dkt,dekat
gaperlu,ga perlu
rada,agak
cucok,cocok
crake,crack
enakeun,enak
pokokna,pokoknya
nyebabin,menyebabkan
tekstutnya,teksturnya
jdnya,jadinya
ssh,susah
dipakein,dipakaikan
terdebest,terbaik
smk,sekolah menengah kejuruan
olesin,oleskan
higenis,higienis
keman,kemana
ngurangin,mengurangi
pengen,pengin
diaplikasiinnya,diaplikasikan
dibersihin,dibersihkan
gacocok,ga cocok
diraguin,diragukan
demen,suka
priper,primer
mnrut,menurut
mnrutku,menurutku
ngaruhnya,pengaruhnya
kaliya,kali ya
jadu,jadi
samaaja,sama aja
lagilagi,lagi lagi
cukuo,cukup
nyumbat,menyumbat
ngerubah,merubah
diakalin,diakali
dipasangin,dipasangkan
nyatu,menyatu
gapaham,ga paham
dpakai,dipakai
rsanya,rasanya
ngeratain,meratakan
primerini,primer ini
krg,kurang
d,di
b,biasa
jrng,jarang
jrg,jarang
keliahatan,kelihatan
gradakan,tidak rata
cangtip,cantik
serinh,sering
ngefek,berefek
manggung,panggung
kedikitan,terlalu sedikit
ditangan,tangan
sodaraku,saudaraku
diolesin,dioleskan
ngeganjel,mengganjal
gakenak,gak enak
ngert,banget
ijo,hijau
kalo,kalau
ngebuat,membuat
permikapan,per makeup an
tekturnya,teksturnya
menurutju,menurutku
samarin,menyamarkan
dipke,dipakai
didiemin,didiamkan
sush,susah
meminimalisir,meminimalkan
teksturenya,teksturnya
penyelemat,penyelamat
kegedean,kebesaran
gedean,lebih besar
ngegumpal,menggumpal
kalai,kalau
terasa,rasa
berasa,rasa
trasa,rasa
nampol,cocok
senampol,secocok
econmerce,ecommerce
ngungkapin,mengungkapkan
cuku,cukup
likuid,cair
jdinya,jadinya
kepake,kepakai
hasilanya,hasilnya
makai,memakai
packgaing,packaging
dkit,sedikit
bandingin,membandingkan
ngebandingin,membandingkan
gabut,menganggur
gegara,gara gara
geje,ga jelas
capcus,berangkat
sebernya,sebenarnya
sreg,cocok
memyamarkan,menyamarkan
pd,percaya diri
hipe,populer
ygjelas,yang jelas
gaakanbeli,ga akan beli
ngurangi,mengurangi
pede,percaya diri
trnyta,ternyata
yt,youtube
teteup,tetap
mikir,berpikir
kumus,kusam
prime,primer
omagad,ya tuhan
menueut,menurut
kutang,kurang
terh,terus
porduknya,produknya
kukit,kulit
bermintak,berminyak
bgaian,bagian
atasinl,atasi
ngatasin,mengatasi
woth,worth
gaterlalu,ga terlalu
gajadi,ga jadi
ver,flawless
klo,kalau
dikit,sedikit
rekomen,direkomendasikan
keracunin,keracunan
temenku,temanku
temennya,temannya
ku,aku
teksture,tekstur
ngambang,mengambang
transparant,transparan
trrlu,terlalu
gakeliatan,ga keliatan
akh,aku
oiya,oh iya
pastiin,pastikan
sis,kak
hargnya,harganya
grenjel,tidak rata
segingga,sehingga
kesel,kesal
ditemuin,ditemukan
ketemu,temu
ngecilin,mengecilkan
ngisi,mengisi
sensi,sensitif
ngamuk,mengamuk
ngrsa,ngerasa
stlah,setelah
sblmnya,sebelumnya
nunjukin,menunjukkan
mukany,mukanya
direkomendasiin,direkomendasikan
repurcase,beli lagi
coz,karena
doi,pacar
bersihin,bersihkan
samsek,sama sekali
gue,aku
dupenya,imitasinya
nambahin,menambahkan
kebutulan,kebetulan
makenya,pakainya
reviewnya,review nya
jelasinnya,menjelaskannya
diratain,diratakan
ratain,ratakan
nganggur,menganggur
ckupnlumayan,cukup lumayan
mulush,mulus
keringet,keringat
keringetan,keringatan
paka,pakai
nangkal,menangkal
oya,oh iya
parno,paranoid
mnurut,menurut
bneram,beneran
bv,beauty vlogger
srek,cocok
pokokya,pokoknya
bakalab,bakalan
ganjel,ganjal
diselipin,diselipkan
okey,oke
usapin,usapkan
karen,karena
emangsih,emang sih
rasain,rasakan
oake,pakai
cicok,cocok
sebrapa,seberapa
mayn,lumayan
nemu,menemukan
dupe,imitasi
bnrbnr,bener bener
teksturny,teksturnya
kudu,harus
beberan,beneran
poti,pori
bayik,bayi
prtama,pertama
hrganya,harganya
bersihinnya,bersihkannya
fondition,foundation
ditaro,ditaruh
aing,aku
katnya,katanya
lnjut,lanjut
minya,minyak
nyamarkan,menyamarkan
inituh,ini tuh
denfan,dengan
ngejaga,menjaga
gambang,mudah
gemay,gemas
beneram,beneran
benerbikin,bener bikin
mengerucutkecil,mengerucut kecil
gakan,ga akan
jelly,gel
kileng,kilang
hits,populer
hitz,populer
kupake,kupakai
muncul,muncul
jeli,gel
dikasi,dikasih
arau,atau
ngeringin,mengkeringkan
ngabisin,menghabiskan
seperto,seperti
makanya,karenanya
sebelumn,sebelum
nyerep,menyerap
biat,buat
hgaris,garis
langsing,langsung
gais,teman teman
gaes,teman  teman
combinasi,kombinasi
bange,banget
dibagikan,dibagian
nguras,menguras
aeal,awal
kyut,imut
gaush,gausah
endak,enggak
slicon,silion
setiapa,setiap
thankyou,terima kasih
gua,aku
menangin,memenangkan
nemenin,temani
gatel,gatal
yaampun,ya ampun
bangeg,banget
ngeresep,meresap
foundy,foundation
biarga,biar ga
akubeli,aku beli
mutusi,memutuskan
mutusin,memutuskan
iyasih,iya sih
ngalamin,mengalami
halusin,menghaluskan
nyerap,menyerap
naruh,menaruh
lobang,lubang
nempelin,menempelkan
nyebabib,menyebabkan
btw,omong omong
teksrutenya,teksturnya
nyerapnya,menyerapnya
n,dan
dilengkapin,dilengkapi
bleber,lumer
bleberan,lumer
baurinnya,baurkannya
syuka,suka
rekomended,rekomendasi
ganyumbat,ga menyumbat
mke,make
mnrtku,menurutku
earaser,eraser
masukkin,masukkan
masuh,masih
agakhalus,agak halus
kpke,kepakai
ngelapisin,melapisi
membant,membantu
makeupagar,makeup agar
tmenku,temanku
nimbulin,menimbulkan
diaku,di aku
nyengatnya,menyengatnya
amouh,ampuh
kecilin,mengecilkan
ngerasain,merasakan
paporit,favorit
suer,sumpah
tekstrurnya,teksturnya
ngeremehin,meremehkan
didandanin,didandani
slthnya,setelahnya
ohya,oh iya
teksurnya,teksturnya
kalopun,kalau
adekku,adikku
gaberasa,ga berasa
bergitu,begitu
sebenenrya,sebenarnya
gabikin,ga bikin
maybellinebaby,maybelline baby
diteken,ditekan
bikjn,bikin
semha,semua
ngejadiin,menjadikan
hatihati,hati hati
palsunua,palsunya
kam,kan
nyamar,samar
dupes,imitasi
dipakek,dipakai
kece,keren
klaw,kalau
senagai,sebagai
gkbpake,gk pake
berkeringetan,berkeringatan
ngegerumpel,menggerumpal
gaakan,ga akan
mud,mudah
akusih,aku sih
radak,agak
semacem,semacam
dipadupadan,dipadu padan
keanya,kayaknya
timpah,timpa
mmebuat,membuat
kasihin,kasihkan
lumayam,lumayan
beukuran,berukuran
yamg,yang
gitude,gitu deh
gamasuk,ga masuk
taro,taruh
are,area
gangerti,ga ngerti
bsoknya,besoknya
dongrekomendasiin,dong rekomendasikan
watir,khawatir
diniatin,diniati
nempelnya,menempelnya
rekomend,rekomendasikan
merhatiin,memerhatikan
merhatikan,memerhatikan
kemedo,komedo
manjah,manja
syopi,shopee
cus,karena
murce,murah ceria
musti,mesti
tapj,tapi
jeriwitan,jerawatan
foundue,foundation
bebarengan,barengan
mmprtahankan,mempertahankan
dibahagian,dibagian
foundatio,foundation
serinf,sering
gengs,teman teman
naro,taruh
pantesan,pantasan
packinya,kemasannya
nolong,menolong
ngerekomendasiin,merekomendasikan
bangtet,banget
ktutup,ketutup
tjinta,cinta
tebeul,tebal
puya,punya
yaudah,ya sudah
secanci,secantik
bubay,dadah
abisan,sehabis
walopun,walau
gasukanya,ga sukanya
dilanjutin,dilanjutkan
shombongamat,sombong sekali
silikonya,silikonnya
ngehalusin,menghaluskan
sedari,dari
akutu,aku tuh
pakae,pakai
memuaskan,mempuaskan
ngincer,mengincar
gedenya,besarnya
kutiban,kutimpa
gaperna,ga pernah
disaranin,disarankan
incer,incar
yauds,ya sudah
poduk,produk
bihin,bikin
oia,oh iya
nongol,muncul
produkny,produknya
kagak,enggak
telsturnya,teksturnya
untun,untuk
jua,juga
butek,keruh
bcs,karena
ngehilangin,menghilangkan
pkainya,pakainya
wjahku,wajahku
burukburuk,buruk buruk
dll,dan lain lain
