so far,sejauh ini
big pores,pori pori besar
so good,sangat bagus
so so,biasa saja
worth to buy,layak untuk dibeli
worth it,layak
its just not worth using,tidak layak digunakan
worth the price,sepadan dengan harganya
it s worth to try,layak untuk dicoba
i don t think i would,aku berpikir aku tidak akan 
this product,produk ini
must have,harus punya
must try,harus coba
meng clock,menyumbat
worth it to buy,layak untuk dibeli
worth to try,layak untuk dicoba
worth it to try,layak untuk dicoba
worth a try,patut dicoba
worth the hype,sepadan dengan sensasinya
travel friendly,ramah perjalanan
budget friendly,ramah anggaran
is a big ol bonus,bonus tambahan
double cleansing,dua kali pembersihan
triple cleansing,tiga kali pembersihan
oily acne prone,rawan jerawat berminyak
acne prone,rawan jerawat
acne prone oily skin,kulit berminyak rawan jerawat
acne prone skin,kulit rawan jerawat
oily acne prone skin,kulit rawan jerawat berminyak
all day,sepanjang hari
all day long,sepanjang hari
certain area,wilayah tertentu
not sure,tidak yakin
this works on my skin,ini bekerja di kulit aku
it doesnt work,tidak bekerja
it doesn t works on me,tidak bekerja di aku
doesn t work really well,tidak bekerja dengan baik
works better on me,bekerja lebih baik di aku
it works so well,bekerja dengan sangat baik
it doesnt works on me,tidak bekerja di aku
it doesn t work at all,tidak bekerja sama sekali
it doesn t work for me,tidak bekerja untukku
it work well,bekerja dengan baik
it didnt work so well,tidak bekerja dengan sangat baik
doesn t work on my skin,tidak bekerja di kulitku
yeay it works,yay ini bekerja
i also feel like this primer clogs my pore,aku juga merasa kalau primer ini menyumbat pori poriku
i think this works better for oily skin,aku berpikir ini bekerja lebih baik untuk kulit berminyak
i dont know why,aku gatau kenapa
this product doesnt work well on me,produk ini tidak bekerja dengan baik di aku
sorry to say but i dislike this product,maaf untuk mengatakan tapi aku tidak suka produk ini
last longer than usual,tahan lebih lama dari biasanya
pretty good as primer but not as pore eraser i guess,cukup bagus sebagai primer tapi tidak sebagai pore eraser kurasa
stays longer,tahan lebih lama
which i personally love,yang saya suka secara pribadi
silicone base,bahan dasar silikon
silicone based,bahan dasar silikon
silicon based,bahan dasar silikon
silicon base,bahan dasar silikon
silicone based primer,primer berbahan dasar silikon
silicon based primer,primer berbahan dasar silikon
water based,bahan dasar air
at least,setidaknya
next time,lain kali
blurry effect,efek samar
blurry effectnya,efek menyamarkannya
i think its not,kupikir tidak
and after i cleansing my face,dan setelah aku membersihkan wajahku
deep cleansing,pembersihan menyeluruh
oil cleansing,pembersihan minyak
blurred effect,efek tersamarkan
smooth effect,efek halus
blurring effect,efek samar
blurring effectnya,efek menyamarkannya
blur effect,efek samar
after effectnya,efek sesudahnya
after effect,efek sesudah
one of them,salah satunya
as simple as that,sesederhana itu
my first pore eraser,pore eraser pertamaku
my first primer,primer pertamaku
its my first primer,ini primer pertamaku
my first primer ever,primer pertamaku
this one is my first Primer,ini adalah primer pertamaku
my first ever primer,primer pertamaku
preparation before,persiapan sebelum
this primer before,primer ini sebelum
i always love this cute product,aku selalu suka produk imut ini
im using this product before any bbcream or,aku menggunakan produk ini sebelum bbcream apapun atau
and after I cleansing my face,dan setelah aku membersihkan wajahku
cover prone after using this,rawan tutup setelah pakai ini
the day,hari
after use,setelah pemakaian
for primer i used benefit porefessional,untuk primer aku menggunakan benefit porefessional
possible for me to apply to all over my face,memungkinkan untuk aku mengaplikasikan di seluruh wajahku
just like the baby s skin,seperti kulit bayi
for a primer,untuk primer
will i repurchase,apakah aku akan beli kembali
i will definitely repurchase it,aku pasti akan membelinya lagi
travel size,ukuran berpergian
under eye,bawah mata
tone up cream,krim pencerah
spread outnya,menyebarnya
fast absorb,cepat menyerap
comedo prone,rawan komedo
when i wore glasses,ketika aku pakai kacamata
still not impressed me,masih belum membuatku terkesan
the day afternya,sehari sesudahnya
harming my skin,melukai kulitku
mix feeling,campur aduk
in general,umumnya
i love it so much,aku sangat menyukainya
i love this so much,aku sangat menyukai ini
i love this thing so much,aku sangat menyukai ini
not so much,tidak terlalu
skin concern,masalah kulit
big concern,masalah besar
never this brand anymore,tidak pernah brand ini lagi
for you who never try any primer you have to try this,untuk kamu yang belum pernah mencoba primer apapun kamu harus coba ini
first try,percobaan pertama
i am quite confuse,aku lumayan bingung
one thing that i realize,satu hal yang kusadari
its really worth to try,benar benar patut dicoba
stay matte,tetap matte
stayu matte,tetap matte
stay on,tinggal
stay in place,diam di tempat
stays all day long,tahan seharian
staying powernya,kemampuan tahannya
non greasy,tidak berminyak
over all,keseluruhan
feel so greasy,merasa sangat berminyak
i love this primer,aku suka primer ini
overall this primer are really good,secara keseluruhan primer ini sangat bagus
apply this primer before foundation,aplikasi primer ini sebelum foundation
apply this primer,aplikasi primer ini
i love this product and its really worth to buy,aku suka produk ini dan benar benar layak untuk dibeli
really love this product,benar benak suka sama produk ini
i think this really make it smooth when i use makeup but it is not,kupikir ini benar benar membuat halus ketika aku pakai makeup ternyata tidak
its really really good,benar benar bagus
not really,tidak juga
